[5.643s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 34.3ms
[5.643s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.7ms
[5.643s][info][gc,phases   ] GC(11)   Other: 0.3ms
[5.643s][info][gc,heap     ] GC(11) Eden regions: 730->0(1150)
[5.643s][info][gc,heap     ] GC(11) Survivor regions: 82->66(102)
[5.643s][info][gc,heap     ] GC(11) Old regions: 145->181
[5.643s][info][gc,heap     ] GC(11) Archive regions: 0->0
[5.643s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[5.643s][info][gc,metaspace] GC(11) Metaspace: 8582K(8832K)->8582K(8832K) NonClass: 7766K(7936K)->7766K(7936K) Class: 816K(896K)->816K(896K)
[5.643s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 957M->246M(2048M) 35.992ms
[5.643s][info][gc,cpu      ] GC(11) User=0.17s Sys=0.02s Real=0.03s
[6.443s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[6.443s][info][gc,task     ] GC(12) Using 6 workers of 6 for evacuation
[6.526s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.2ms
[6.526s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.2ms
[6.526s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 81.3ms
[6.526s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.8ms
[6.526s][info][gc,phases   ] GC(12)   Other: 0.4ms
[6.526s][info][gc,heap     ] GC(12) Eden regions: 1150->0(1076)
[6.526s][info][gc,heap     ] GC(12) Survivor regions: 66->148(152)
[6.526s][info][gc,heap     ] GC(12) Old regions: 181->181
[6.526s][info][gc,heap     ] GC(12) Archive regions: 0->0
[6.526s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[6.526s][info][gc,metaspace] GC(12) Metaspace: 8582K(8832K)->8582K(8832K) NonClass: 7766K(7936K)->7766K(7936K) Class: 816K(896K)->816K(896K)
[6.526s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1396M->328M(2048M) 82.995ms
[6.526s][info][gc,cpu      ] GC(12) User=0.53s Sys=0.00s Real=0.10s
[7.271s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[7.271s][info][gc,task     ] GC(13) Using 6 workers of 6 for evacuation
[7.319s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.2ms
[7.320s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.2ms
[7.320s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 47.2ms
[7.320s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.9ms
[7.320s][info][gc,phases   ] GC(13)   Other: 0.3ms
[7.320s][info][gc,heap     ] GC(13) Eden regions: 1076->0(1202)
[7.320s][info][gc,heap     ] GC(13) Survivor regions: 148->26(153)
[7.320s][info][gc,heap     ] GC(13) Old regions: 181->280
[7.320s][info][gc,heap     ] GC(13) Archive regions: 0->0
[7.320s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[7.320s][info][gc,metaspace] GC(13) Metaspace: 8596K(8832K)->8596K(8832K) NonClass: 7780K(7936K)->7780K(7936K) Class: 816K(896K)->816K(896K)
[7.320s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1404M->306M(2048M) 48.913ms
[7.320s][info][gc,cpu      ] GC(13) User=0.27s Sys=0.02s Real=0.06s
[8.375s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[8.375s][info][gc,task     ] GC(14) Using 6 workers of 6 for evacuation
[8.403s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.2ms
[8.404s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.2ms
[8.404s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 26.9ms
[8.404s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.9ms
[8.404s][info][gc,phases   ] GC(14)   Other: 0.3ms
[8.404s][info][gc,heap     ] GC(14) Eden regions: 1202->0(1170)
[8.404s][info][gc,heap     ] GC(14) Survivor regions: 26->58(154)
[8.404s][info][gc,heap     ] GC(14) Old regions: 280->280
[8.404s][info][gc,heap     ] GC(14) Archive regions: 0->0
[8.404s][info][gc,heap     ] GC(14) Humongous regions: 4->4
[8.404s][info][gc,metaspace] GC(14) Metaspace: 8737K(8960K)->8737K(8960K) NonClass: 7917K(8064K)->7917K(8064K) Class: 820K(896K)->820K(896K)
[8.404s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1512M->342M(2048M) 28.577ms
[8.404s][info][gc,cpu      ] GC(14) User=0.19s Sys=0.00s Real=0.03s
[9.319s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[9.319s][info][gc,task     ] GC(15) Using 6 workers of 6 for evacuation
[9.385s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
