[0.012s][info][gc,heap] Heap region size: 4M
[4.938s][info][gc,heap      ] GC(8) Humongous regions: 0->0
[4.938s][info][gc,metaspace ] GC(8) Metaspace: 16380K(16768K)->16380K(16768K) NonClass: 14889K(15104K)->14889K(15104K) Class: 1491K(1664K)->1491K(1664K)
[4.938s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 670M->235M(8192M) 50.450ms
[4.938s][info][gc,cpu       ] GC(8) User=0.23s Sys=0.00s Real=0.05s
[5.813s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[5.813s][info][gc,task      ] GC(9) Using 6 workers of 6 for evacuation
[5.848s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[5.848s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 34.4ms
[5.848s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.8ms
[5.848s][info][gc,phases    ] GC(9)   Other: 0.3ms
[5.848s][info][gc,heap      ] GC(9) Eden regions: 242->0(250)
[5.848s][info][gc,heap      ] GC(9) Survivor regions: 14->21(32)
[5.848s][info][gc,heap      ] GC(9) Old regions: 45->45
[5.848s][info][gc,heap      ] GC(9) Humongous regions: 0->0
[5.848s][info][gc,metaspace ] GC(9) Metaspace: 16387K(16768K)->16387K(16768K) NonClass: 14895K(15104K)->14895K(15104K) Class: 1491K(1664K)->1491K(1664K)
[5.848s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 1203M->261M(8192M) 35.607ms
[5.848s][info][gc,cpu       ] GC(9) User=0.12s Sys=0.06s Real=0.03s
[6.541s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[6.541s][info][gc,task      ] GC(10) Using 6 workers of 6 for evacuation
[6.620s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.1ms
[6.620s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 78.1ms
[6.620s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.5ms
[6.620s][info][gc,phases    ] GC(10)   Other: 0.3ms
[6.620s][info][gc,heap      ] GC(10) Eden regions: 250->0(345)
[6.620s][info][gc,heap      ] GC(10) Survivor regions: 21->32(34)
[6.620s][info][gc,heap      ] GC(10) Old regions: 45->52
[6.620s][info][gc,heap      ] GC(10) Humongous regions: 0->0
[6.620s][info][gc,metaspace ] GC(10) Metaspace: 16387K(16768K)->16387K(16768K) NonClass: 14895K(15104K)->14895K(15104K) Class: 1491K(1664K)->1491K(1664K)
[6.620s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1261M->330M(8192M) 78.997ms
[6.620s][info][gc,cpu       ] GC(10) User=0.44s Sys=0.03s Real=0.09s
[7.690s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[7.690s][info][gc,task      ] GC(11) Using 6 workers of 6 for evacuation
[7.738s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[7.738s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 46.8ms
[7.738s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.8ms
[7.738s][info][gc,phases    ] GC(11)   Other: 0.3ms
[7.738s][info][gc,heap      ] GC(11) Eden regions: 345->0(1007)
[7.738s][info][gc,heap      ] GC(11) Survivor regions: 32->24(48)
[7.738s][info][gc,heap      ] GC(11) Old regions: 52->58
[7.738s][info][gc,heap      ] GC(11) Humongous regions: 0->0
[7.738s][info][gc,metaspace ] GC(11) Metaspace: 16559K(17024K)->16559K(17024K) NonClass: 15064K(15360K)->15064K(15360K) Class: 1495K(1664K)->1495K(1664K)
[7.738s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1710M->327M(8192M) 48.053ms
[7.738s][info][gc,cpu       ] GC(11) User=0.27s Sys=0.02s Real=0.06s
[10.195s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[10.195s][info][gc,task      ] GC(12) Using 6 workers of 6 for evacuation
[10.322s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[10.322s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 125.2ms
[10.322s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 1.4ms
[10.322s][info][gc,phases    ] GC(12)   Other: 0.6ms
[10.322s][info][gc,heap      ] GC(12) Eden regions: 720->0(216)
[10.322s][info][gc,heap      ] GC(12) Survivor regions: 24->62(93)
[10.322s][info][gc,heap      ] GC(12) Old regions: 58->58
[10.322s][info][gc,heap      ] GC(12) Humongous regions: 1->1
[10.322s][info][gc,metaspace ] GC(12) Metaspace: 16623K(17024K)->16623K(17024K) NonClass: 15127K(15360K)->15127K(15360K) Class: 1496K(1664K)->1496K(1664K)
[10.322s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 3211M->483M(8192M) 127.324ms
[10.322s][info][gc,cpu       ] GC(12) User=0.72s Sys=0.02s Real=0.13s
[10.532s][info][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[10.532s][info][gc,task      ] GC(13) Using 6 workers of 6 for evacuation
[10.616s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.1ms
[10.616s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 83.2ms
[10.616s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 0.6ms
[10.616s][info][gc,phases    ] GC(13)   Other: 0.3ms
[10.616s][info][gc,heap      ] GC(13) Eden regions: 45->0(541)
[10.616s][info][gc,heap      ] GC(13) Survivor regions: 62->2(14)
[10.616s][info][gc,heap      ] GC(13) Old regions: 58->118
[10.616s][info][gc,heap      ] GC(13) Humongous regions: 1->1
[10.616s][info][gc,metaspace ] GC(13) Metaspace: 16623K(17024K)->16623K(17024K) NonClass: 15127K(15360K)->15127K(15360K) Class: 1496K(1664K)->1496K(1664K)
[10.616s][info][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 663M->483M(8192M) 84.107ms
[10.616s][info][gc,cpu       ] GC(13) User=0.45s Sys=0.02s Real=0.08s
[12.989s][info][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[12.989s][info][gc,task      ] GC(14) Using 6 workers of 6 for evacuation
[13.077s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[13.077s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 86.8ms
[13.077s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 0.9ms
[13.077s][info][gc,phases    ] GC(14)   Other: 0.2ms
[13.077s][info][gc,heap      ] GC(14) Eden regions: 532->0(315)
[13.077s][info][gc,heap      ] GC(14) Survivor regions: 2->32(67)
[13.077s][info][gc,heap      ] GC(14) Old regions: 118->118
[13.077s][info][gc,heap      ] GC(14) Humongous regions: 2->2
[13.077s][info][gc,metaspace ] GC(14) Metaspace: 16623K(17024K)->16623K(17024K) NonClass: 15127K(15360K)->15127K(15360K) Class: 1496K(1664K)->1496K(1664K)
[13.077s][info][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 2615M->607M(8192M) 88.060ms
[13.077s][info][gc,cpu       ] GC(14) User=0.48s Sys=0.02s Real=0.09s
